source_record_id,pressure_signal,pressure_verification_status,pressure_type,source_published_date,source_freshness_status,source_freshness_date_basis,source_public_story_eligible,collected_date,freshness_status,freshness_disqualification_reason,primary_eligible,primary_disqualification_reason,affected_groups,location_name,state,pressure_summary,evidence_text,pressure_match_terms,source_title,source_url,primary_source_url,secondary_source_url,source_traceability_role,source_family,source_id
ncpr-st-lawrence-food-pantries-20260616,true,source_text_verified,access gap,2026-06-16,fresh_daily_signal,published_at,true,2026-06-16,fresh_daily_signal,,true,,"low-income households, rural residents","St. Lawrence County, NY",NY,"North Country Public Radio reported a food-access gap in St. Lawrence County, NY, affecting low-income households, rural residents.","The article says the need really intensifies in July and August when kids don't have access to those school meal programs, and even many working families are increasingly turning to food pantries to keep food on the table. It also says local providers see transportation barriers in a very rural county like St. Lawrence, with distance between resources and access to resources, and that pantry partners have seen increases in the last couple of months as more working families rely on food pantries to supplement their budgets.",transportation barrier,More families rely on food pantries. A food drive in St. Lawrence County aims to help,https://www.northcountrypublicradio.org/news/story/53571/20260616/more-families-rely-on-food-pantries-a-food-drive-in-st-lawrence-county-aims-to-help,https://www.northcountrypublicradio.org/news/story/53571/20260616/more-families-rely-on-food-pantries-a-food-drive-in-st-lawrence-county-aims-to-help,,article_url,public_radio,
food-line-auto-8e0ce4668b9ad388,false,demoted_context,context only,2026-06-09,stale_outside_daily_window,page_metadata,false,2026-06-16,stale_outside_daily_window,"page_metadata date 2026-06-09 is 7 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2026-06-09 is 7 days before edition 2026-06-16, outside the 3-day window","children, seniors, SNAP households, low-income households",Mississippi,MS,,SNAP - Supplemental Nutrition Assistance Program - Mississippi Department of Human Services SNAP provides food benefits to low-income families to supplement their grocery budget so they can afford nutritious food. SNAP - Supplemental Nutrition Assistance Program - Mississippi Department of Human Services Skip to main content Quick Apply Report Fraud Document Upload SNAP & TANF Document Upload Child Support Document Upload English English Español Tiếng Việt Who We Are Divisions & Programs Economic Assistance Eligibility SNAP – Supplemental Nutrition Access Program TANF – Temporary Assistance for Needy Families The Emergency Food Assistance Program (TEFAP) Commodity Supplemental Food Program (CSFP) SNAP-Ed Aging & Adult Services Help Living in the Community for Older Adults Finding Services for Older Adults Caregiver Support Adult Protective Services Early Childhood Care & Development,,SNAP - Supplemental Nutrition Assistance Program - Mississippi Department of Human Services,https://www.mdhs.ms.gov/economic-assistance/snap/,,,,state_official,
food-line-auto-63fd8e0147eb9f21,false,demoted_context,service reduction,2026-06-12,stale_outside_daily_window,page_metadata,false,,stale_outside_daily_window,"page_metadata date 2026-06-12 is 4 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2026-06-12 is 4 days before edition 2026-06-16, outside the 3-day window",,"Tulsa, OK",OK,,Food Bank of Eastern Oklahoma faces record fuel costs Demand for free food is higher than ever for Oklahoma families. So are the fuel costs for organizations trying to meet the need. Food Bank of Eastern Oklahoma faces record fuel costs Talk to Us Sign Up Donate Close Sign In Search for: Search News The Oklahoma Eagle La Semana Government Schools & Families Your Money Culture Documenters Calendar Talk to Us Sign Up Donate Home About Financial Supporters Our Boards Jobs Talk to Us Policies News Immigration 100 Years of Route 66 Government 2026 Voter Guide Schools & Families Your Money Culture Food Arts Entertainment The Flyer Book Club Resource Guides Calendar The Oklahoma Eagle La Semana Heart of East Tulsa Snapshot: Mental Health Become a Documenter Press and media partnerships connect@tulsaflyer.org Funders and Supporters partnerships@tulsaflyer.org Facebook Instagram,fuel costs,Food Bank of Eastern Oklahoma faces record fuel costs,https://tulsaflyer.org/2026/06/12/your-money/post/food-bank-fuel-costs/,,,,local_news,
food-line-auto-8766e7659336949d,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,page_metadata,false,2026-06-16,stale_outside_daily_window,page_metadata date 2026-06-18 is after edition 2026-06-16,false,page_metadata date 2026-06-18 is after edition 2026-06-16,disaster-affected households,"Horry County, SC",SC,,"Local WPDE covers news, sports, weather, and local events in and around the Grand Strand, Pee Dee, and the Border Belt. Local Please ensure Javascript is enabled for purposes of website accessibility Skip to main content Close Download the App Get your news faster with our mobile experience Install News News Judge dismisses Boyd's lawsuit against Spivey family attorney A Horry County judge has dismissed a lawsuit filed by Weldon Boyd against attorney Mark Tinsley, Friday morning brings severe threat to Grand Strand Tropical Storm Arthur's remnant circulation is causing flooding concerns across the South. That rain and storm threat will shift northeast to the Carolinas for Vietnam Vet opens up about PTSD journey, urges other to seek help Charles Smith joined the United States Army in 1967. He was nearly",,Local,https://wpde.com/news/local,,,,local_news,
food-line-auto-6effc522ae28d822,false,demoted_context,demand strain,2025-04-28,stale_outside_daily_window,page_metadata,true,,stale_outside_daily_window,"page_metadata date 2025-04-28 is 414 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2025-04-28 is 414 days before edition 2026-06-16, outside the 3-day window",,Washington,WA,,"USDA set to cut $1B for food programs. WA food banks are worried | Cascade PBS Local banks are already struggling to meet demand, and federal cuts could mean empty shelves for the 1 in 4 Washingtonians who visited one last year. USDA set to cut $1B for food programs. WA food banks are worried | Cascade PBS { member.metadata.pbs_uid = event?.detail?.metadata?.pbs?.customer_uid; member.metadata.viewer_uid = event?.detail?.metadata?.pbs?.viewer_uid; member.metadata.passport_uid = event?.detail?.metadata?.pbs?.passport_uid; member.metadata.connected = event?.detail?.metadata?.pbs?.connected; member.loaded = true });"" :data-member-pbs-uid=""member?.metadata?.pbs_uid"" :data-member-viewer-uid=""member?.metadata?.viewer_uid"" :data-member-passport-uid=""member?.metadata?.passport_uid"" :data-member-connected=""member?.metadata?.connected"" :data-member-has-passport=""member?.has_pbs_passport""","struggling to meet demand, empty shelves, federal cuts, food programs",USDA set to cut $1B for food programs. WA food banks are worried | Cascade PBS,https://www.cascadepbs.org/politics/2025/04/usda-set-cut-1b-food-programs-wa-food-banks-are-worried,,,,local_news,
food-line-auto-1843b3b8f5e2d4d9,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,"Roanoke, VA",VA,,"Virginia voters to decide fate of same-sex marriage ban in state constitution Virginia voters will decide this November whether to remove a same-sex marriage ban that has remained in the state’s constitution for nearly two decades, despite marriage equality being legal nationwide since 2015.",,Virginia voters to decide fate of same-sex marriage ban in state constitution,https://www.wsls.com/news/local/2026/06/18/virginia-marriage-equality/,,,,local_news,
food-line-auto-7768550dd293e432,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,"Roanoke, VA",VA,,"Police shooting of a 1-year-old Mississippi boy ignites tension between police and Black residents A police shooting in Senatobia, Mississippi, that left a 1-year-old child dead has ignited simmering tensions between police and Black residents in the town of 8,000.",,Police shooting of a 1-year-old Mississippi boy ignites tension between police and Black residents,https://www.wsls.com/news/national/2026/06/18/police-shooting-of-a-1-year-old-mississippi-boy-ignites-tension-between-police-and-black-residents/,,,,local_news,
food-line-auto-6ba383062fa79a64,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,"Roanoke, VA",VA,,"Ebola cases increase almost 40% in a week as death toll passes 200 The Ebola outbreak in Congo and Uganda has claimed 204 deaths, with 894 confirmed cases, Africa’s Centres for Disease Control and Prevention said.",,Ebola cases increase almost 40% in a week as death toll passes 200,https://www.wsls.com/health/2026/06/18/ebola-cases-increase-almost-40-in-a-week-as-death-toll-passes-200/,,,,local_news,
food-line-auto-0948634c772ec529,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,"Roanoke, VA",VA,,"Strong Storms Possible Thursday Afternoon We are starting off the morning hours with just a few clouds, and showers and storms off to the west. This afternoon as pop up showers and storms move int the region, a few could be strong to severe. Be sure to stay weather aware and download our Weather Authority Mobile App for those weather alerts to be sent directly to your phone.",,Strong Storms Possible Thursday Afternoon,https://www.wsls.com/weather/2026/06/18/strong-storms-possible-thursday-afternoon/,,,,local_news,
food-line-auto-20dba724359afeca,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,"Roanoke, VA",VA,,"New York mayor, other leaders push to ban horse-drawn carriage rides after Indian teen's death The death of an Indian teenager in New York's Central Park has intensified calls to ban horse-drawn carriages.",,"New York mayor, other leaders push to ban horse-drawn carriage rides after Indian teen's death",https://www.wsls.com/business/2026/06/18/new-york-mayor-other-leaders-push-to-end-horse-carriage-industry-after-indian-teens-death/,,,,local_news,
